id,route,day,title,time,StoryMode
1,DAY 1,1,Welcome1,00:03,0
2,DAY 1,1,Welcome2,02:21,0
3,DAY 1,1,Zen's complaint,04:35,0
4,DAY 1,1,Yoosung's complaint,07:00,0
5,DAY 1,1,Jumin's lonely morning,08:00,0
6,DAY 1,1,Seven loves cats,10:04,0
7,DAY 1,1,Seven's Investigation,11:58,0
8,DAY 1,1,Jaehee's expectation,12:50,0
9,DAY 1,1,Jumin's curiosity,13:48,0
10,DAY 1,1,Zen reminisces about the old party,15:00,0
11,DAY 1,1,Who hates to work?,16:50,0
12,DAY 1,1,Yoosung's hope for the new party,18:02,0
13,DAY 1,1,Concerns of two men,18:58,0
14,DAY 1,1,Discussion about the party,19:40,0
15,DAY 1,1,Zen's expectation,21:50,0
16,DAY 1,1,Excited Yoosung,22:30,0
17,DAY 1,1,Jaehee's favor,23:15,0
18,Casual Story,2,Jaehee's announcement,00:38,0
19,Casual Story,2,Zen received fan letters,03:03,0
20,Casual Story,2,Yoosung's omelette rice,07:00,0
21,Casual Story,2,Fight over cats,08:05,0
22,Casual Story,2,Yoosung's thoughts,11:45,0
23,Casual Story,2,Zen hates cats,12:43,0
24,Casual Story,2,Concerns from V and Zen,15:00,0
25,Casual Story,2,Yoosung's doubt,17:23,0
26,Casual Story,2,Zen with new work,19:02,0
27,Casual Story,2,Romance novel company,20:05,0
28,Casual Story,2,Jaehee's support,21:35,0
29,Casual Story,3,Girlfriend and Zen,00:00,0
30,Casual Story,3,Unstoppable LOLOL,03:04,0
31,Casual Story,3,Jumin and Cat and Zen,07:30,0
32,Casual Story,3,The person that has to be found,10:50,0
33,Casual Story,3,Handsome Zen,12:15,0
34,Casual Story,3,The Lady of Bracelets,13:05,0
35,Casual Story,3,Jaehee's thoughts,15:30,0
36,Casual Story,3,Zen making a fuss,17:56,0
37,Casual Story,3,"A slave of money, Seven",19:42,0
38,Casual Story,3,Jalapeños topping,21:15,0
39,Casual Story,3,Yoosung is living alone,23:00,0
40,Casual Story,4,Jaehee worries about Jumin,00:18,0
41,Casual Story,4,Do not drink coffee,03:24,0
42,Casual Story,4,Jaehee's position,07:00,0
43,Casual Story,4,Seven mocks Yoosung,09:05,0
44,Casual Story,4,Blame,10:00,0
45,Casual Story,4,I quit LOLOL,12:50,0
46,Casual Story,4,No girlfriend,15:00,0
47,Casual Story,4,Found him.,17:04,0
48,Casual Story,4,Are you really...,19:18,0
49,Casual Story,4,New RFA party,21:08,0
50,Casual Story,4,The game that starts again,22:00,0
51,Casual Story,4,Weird Dream,23:15,1
52,Casual Story,5,We're machines,01:28,0
53,Casual Story,5,What?,03:22,0
54,Casual Story,5,Yoosung's delusion,05:35,1
55,Casual Story,5,(no title),07:00,0
56,Deep Story,2,We are having a party again!,00:30,0
57,Deep Story,2,Expressing emotion,02:11,1
58,Deep Story,2,Cat business,06:55,0
59,Deep Story,2,Answer me!,09:22,0
60,Deep Story,2,Rich people,11:50,0
61,Deep Story,2,How's my life?,14:12,0
62,Deep Story,2,Bickering,15:58,0
63,Deep Story,2,Tsk tsk,18:10,0
64,Deep Story,2,Be honest!,19:56,0
65,Deep Story,2,Romance expert,22:00,0
66,Deep Story,2,Jumin... Are you...,23:22,0
67,Deep Story,3,Stop playing game...,00:55,0
68,Deep Story,3,Zorro poster,02:59,0
69,Deep Story,3,Stayed overnight T_T,07:46,0
70,Deep Story,3,Love records of RFA,09:58,0
71,Deep Story,3,Lunch,12:02,0
72,Deep Story,3,Honey Buddha Chip,13:59,0
73,Deep Story,3,Their life,15:15,0
74,Deep Story,3,"Tell me, Seven!",17:00,0
75,Deep Story,3,"Mission ""Honey Buddha""",18:59,0
76,Deep Story,3,About the party,20:01,0
77,Deep Story,3,Something in common,22:14,0
78,Deep Story,4,Stay healthy!,00:01,1
79,Deep Story,4,Real master,02:22,0
80,Deep Story,4,Gossip article,08:45,0
81,Deep Story,4,Unknown fact,11:45,0
82,Deep Story,4,Religion,13:10,0
83,Deep Story,4,Zen's imagination,15:15,0
84,Deep Story,4,Hacker is dangerous,17:07,0
85,Deep Story,4,Yoosung's life mission,18:30,0
86,Deep Story,4,Been to the grape farm,20:02,0
87,Deep Story,4,Good cat business,21:21,0
88,Deep Story,4,Party date,23:15,1
89,Deep Story,5,(Story Mode),00:00,1
90,Deep Story,5,Danger,01:00,1
91,Another Story,1,New Face!,00:00,0
92,Another Story,1,Jaehee's Doubt,02:12,0
93,Another Story,1,The Open Sea Between 0 and 1,06:30,0
94,Another Story,1,Cats and Dogs,08:26,0
95,Another Story,1,Importance of Meals,11:49,0
96,Another Story,1,Zen's Consideration,14:08,0
97,Another Story,1,Dear Party Coordinator,16:33,0
98,Another Story,1,I need healing time,18:17,0
99,Another Story,1,Subject of Interest,20:02,0
100,Another Story,1,Richness in Wine,21:34,0
101,Another Story,1,Intriguing Person,23:25,1
102,Another Story,2,Expectation and Uneasiness,01:19,1
103,Another Story,2,Night of Reminiscence,02:44,0
104,Another Story,2,Unexpected Visit,07:50,1
105,Another Story,2,The Act of Hacking God,09:37,0
106,Another Story,2,Lots I Want To Do Together,12:00,1
107,Another Story,2,V's Decision,13:57,1
108,Another Story,2,Recommendation of Trust,15:24,1
109,Another Story,2,The Universe and the Sun,18:26,1
110,Another Story,2,Party at Saturn?,20:13,0
111,Another Story,2,Congrats,22:38,0
112,Another Story,3,Under the Shimmering Moonlight,00:31,1
113,Another Story,3,Paradox of the Survival of the Fittest,02:46,0
114,Another Story,3,Take Care of Your Health,07:00,0
115,Another Story,3,Back in the Days,09:13,0
116,Another Story,3,My Best Friend,12:22,1
117,Another Story,3,Small Cute Adorable,14:09,0
118,Another Story,3,Precious friend,16:32,0
119,Another Story,3,Explosion of Emotions,18:24,1
120,Another Story,3,Reason Behind the Curiosity,20:11,1
121,Another Story,3,Powder of the Coordinator!,21:49,0
122,Another Story,3,Another Level of Salvation,23:07,1
123,Another Story,4,I Keep Thinking of You,00:16,0
124,Another Story,4,What's Wrong?,02:34,1
125,Another Story,4,All-Nighter,08:15,1
126,Another Story,4,Understanding and Respect,10:22,0
127,Another Story,4,I Really Want to See You,12:00,1
128,Another Story,4,Portrait of the Youthful Days in Campus,14:41,1
129,Another Story,4,An Afternoon of Anxiety,17:36,1
130,Another Story,4,Mask Made of Glass,18:42,0
131,Another Story,4,Zen's Worrisome Looks,20:10,0
132,Another Story,4,Nice,21:53,1
133,Another Story,4,What I Want to Say,22:49,1
134,Yoosung Route,5,The picture of the last party,01:28,0
135,Yoosung Route,5,Robotic Assistant Kang,03:22,0
136,Yoosung Route,5,Yoosung in the past,07:35,0
137,Yoosung Route,5,I like how things are now,09:43,0
138,Yoosung Route,5,Can I wind a spring?,12:30,0
139,Yoosung Route,5,Yoosung's concern,13:22,0
140,Yoosung Route,5,Zen with an injury,15:43,0
141,Yoosung Route,5,A way of releasing anxiety,18:25,0
142,Yoosung Route,5,Jaehee worries about Zen,20:11,0
143,Yoosung Route,5,The people who make games,21:45,0
144,Yoosung Route,5,After looking at the old photo album...,23:07,0
145,Yoosung Route,6,Rika's relatives,01:03,0
146,Yoosung Route,6,Seven's gift,03:33,0
147,Yoosung Route,6,Kitten,07:05,0
148,Yoosung Route,6,Who will be raising the kitten?,09:55,0
149,Yoosung Route,6,Yoosung's major,12:22,0
150,Yoosung Route,6,707 loves cats,14:30,0
151,Yoosung Route,6,Kitten and Jumin,17:00,0
152,Yoosung Route,6,Find the right owner,18:45,0
153,Yoosung Route,6,Just like Rika,19:50,0
154,Yoosung Route,6,Rika's shadow,20:58,0
155,Yoosung Route,6,Rika and [Name],23:30,0
156,Yoosung Route,7,Magician 707,01:17,0
157,Yoosung Route,7,Different person,03:21,0
